company,category,term,count,sentiment,risk_weight,weighted_score
amazon,Environmental,emissions,32,-0.5,2,64
amazon,Environmental,carbon,59,-0.44,2,118
amazon,Governance,Entity: Amazon Web Services,1,0.0,1,1
amazon,Governance,Entity: Amazon Web Services,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: Guide - Concepts,1,0.0,1,1
amazon,Governance,"Entity: Topics
 Customer",1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,"Entity: AWS Regions

Customers",1,0.0,1,1
amazon,Governance,Entity: Canada West,1,0.0,1,1
amazon,Governance,Entity: Calgary,1,0.0,1,1
amazon,Governance,Entity: Canada,1,0.0,1,1
amazon,Governance,Entity: US,1,0.0,1,1
amazon,Governance,Entity: California,1,0.0,1,1
amazon,Governance,Entity: Jakarta,1,0.0,1,1
amazon,Governance,Entity: Osaka,1,0.0,1,1
amazon,Governance,Entity: Tokyo,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: Frankfurt,1,0.0,1,1
amazon,Governance,Entity: Paris,1,0.0,1,1
amazon,Governance,Entity: Frankfurt,1,0.0,1,1
amazon,Governance,Entity: Paris,1,0.0,1,1
amazon,Governance,Entity: ~29%,1,0.0,1,1
amazon,Governance,Entity: Frankfurt,1,0.0,1,1
amazon,Governance,Entity: Paris,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: MBM,1,0.0,1,1
amazon,Governance,Entity: Amazon CloudFront,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: Amazon CloudFront,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: AWS Data,1,0.0,1,1
amazon,Governance,Entity: Amazon EC2,1,0.0,1,1
amazon,Governance,Entity: Amazon S3,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: CloudWatch,1,0.0,1,1
amazon,Governance,Entity: Amazon Redshift,1,0.0,1,1
amazon,Governance,Entity: Sagemaker,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: AWS Region,1,0.0,1,1
amazon,Governance,Entity: Asia Pacific,1,0.0,1,1
amazon,Governance,Entity: Tokyo,1,0.0,1,1
amazon,Governance,Entity: US,1,0.0,1,1
amazon,Governance,Entity: Ohio,1,0.0,1,1
amazon,Governance,"Entity: AWS Data Exports

Carbon Data Exports",1,0.0,1,1
amazon,Governance,Entity: AWS Organizations,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: Carbon Data Exports,1,0.0,1,1
amazon,Governance,Entity: Amazon S3,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: AWS Data Exports,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: Apex,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: CCFT,1,0.0,1,1
amazon,Governance,Entity: the AWS Billing,1,0.0,1,1
amazon,Governance,Entity: Cost and Usage Analysis,1,0.0,1,1
amazon,Governance,Entity: AWS Cost and Usage Report,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: CSV,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: Customer Carbon Footprint Tool,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: AWS,1,0.0,1,1
amazon,Governance,Entity: Amazon,1,0.0,1,1
amazon,Governance,Entity: Amazon EC2,1,0.0,1,1
amazon,Governance,Entity: Amazon S3,1,0.0,1,1
infosys,Environmental,emissions,44,0.8,2,88
infosys,Environmental,carbon,53,0.8,2,106
infosys,Environmental,pollution,4,1.0,1,4
infosys,Environmental,waste,72,0.51,1,72
infosys,Environmental,water scarcity,2,0.14,3,6
infosys,Environmental,climate change,9,0.98,3,27
infosys,Environmental,greenhouse gases,1,1.0,2,2
infosys,Social,labor,60,0.93,1,60
infosys,Social,child labor,1,0.99,4,4
infosys,Social,diversity,30,1.0,2,60
infosys,Social,community,46,0.95,1,46
infosys,Social,human rights,9,0.99,3,27
infosys,Social,harassment,6,0.45,3,18
infosys,Governance,fine,11,0.79,2,22
infosys,Governance,data breach,1,0.92,3,3
infosys,Governance,cybersecurity,57,0.9,3,171
infosys,Governance,corruption,12,0.39,4,48
infosys,Governance,bribery,8,0.09,4,32
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: the Infosys ESG Report,1,0.0,1,1
infosys,Governance,Entity: PDF,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: the ESG Report,1,0.0,1,1
infosys,Governance,Entity: the ESG Data Book,1,0.0,1,1
infosys,Governance,Entity: Contents,1,0.0,1,1
infosys,Governance,Entity: the Infosys Integrated Annual Report,1,0.0,1,1
infosys,Governance,Entity: ESG Data Book,1,0.0,1,1
infosys,Governance,Entity: Foundation,1,0.0,1,1
infosys,Governance,Entity: PDF,1,0.0,1,1
infosys,Governance,Entity: Infosys ESG Report,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: CFO,1,0.0,1,1
infosys,Governance,Entity: Artificial Intelligence,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: World,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,Entity: Binding Corporate Rules,1,0.0,1,1
infosys,Governance,Entity: EU,1,0.0,1,1
infosys,Governance,Entity: EU,1,0.0,1,1
infosys,Governance,Entity: SightConnect,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Canada,1,0.0,1,1
infosys,Governance,Entity: USA,1,0.0,1,1
infosys,Governance,Entity: Mexico,1,0.0,1,1
infosys,Governance,Entity: Denmark Netherlands,1,0.0,1,1
infosys,Governance,Entity: UK,1,0.0,1,1
infosys,Governance,"Entity: Guernsey 	
     Ireland",1,0.0,1,1
infosys,Governance,Entity: Belgium,1,0.0,1,1
infosys,Governance,Entity: Luxembourg,1,0.0,1,1
infosys,Governance,Entity: Germany,1,0.0,1,1
infosys,Governance,Entity: France,1,0.0,1,1
infosys,Governance,Entity: Norway,1,0.0,1,1
infosys,Governance,Entity: Turkey,1,0.0,1,1
infosys,Governance,Entity: Israel,1,0.0,1,1
infosys,Governance,Entity: Finland,1,0.0,1,1
infosys,Governance,Entity: Sweden,1,0.0,1,1
infosys,Governance,Entity: Latvia,1,0.0,1,1
infosys,Governance,Entity: Lithuania,1,0.0,1,1
infosys,Governance,Entity: Czech Republic,1,0.0,1,1
infosys,Governance,Entity: Poland,1,0.0,1,1
infosys,Governance,Entity: Qatar,1,0.0,1,1
infosys,Governance,Entity: China,1,0.0,1,1
infosys,Governance,Entity: South Korea,1,0.0,1,1
infosys,Governance,Entity: Japan,1,0.0,1,1
infosys,Governance,Entity: Costa Rica,1,0.0,1,1
infosys,Governance,Entity: Puerto Rico,1,0.0,1,1
infosys,Governance,Entity: Italy,1,0.0,1,1
infosys,Governance,Entity: Hungary,1,0.0,1,1
infosys,Governance,Entity: Slovakia,1,0.0,1,1
infosys,Governance,Entity: Switzerland,1,0.0,1,1
infosys,Governance,Entity: Saudi Arabia UAE,1,0.0,1,1
infosys,Governance,Entity: Oman,1,0.0,1,1
infosys,Governance,Entity: Hong Kong,1,0.0,1,1
infosys,Governance,Entity: Thailand,1,0.0,1,1
infosys,Governance,Entity: Malaysia,1,0.0,1,1
infosys,Governance,Entity: Taiwan,1,0.0,1,1
infosys,Governance,Entity: Philippines,1,0.0,1,1
infosys,Governance,Entity: Peru,1,0.0,1,1
infosys,Governance,Entity: Chile,1,0.0,1,1
infosys,Governance,Entity: Brazil,1,0.0,1,1
infosys,Governance,Entity: Argentina,1,0.0,1,1
infosys,Governance,Entity: Serbia,1,0.0,1,1
infosys,Governance,Entity: Bulgaria,1,0.0,1,1
infosys,Governance,Entity: Spain,1,0.0,1,1
infosys,Governance,Entity: South Africa,1,0.0,1,1
infosys,Governance,Entity: Singapore,1,0.0,1,1
infosys,Governance,Entity: Australia,1,0.0,1,1
infosys,Governance,Entity: New Zealand,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: Pune,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,"Entity: Digital
Infosys Cobalt",1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: Digital,1,0.0,1,1
infosys,Governance,Entity: Center for Emerging Technology Solutions,1,0.0,1,1
infosys,Governance,Entity: Infosys Center for Emerging Technology Solutions,1,0.0,1,1
infosys,Governance,Entity: NextGen,1,0.0,1,1
infosys,Governance,Entity: Infosys ESG Report,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Communication on Progress,1,0.0,1,1
infosys,Governance,Entity: the UN Global Compact,1,0.0,1,1
infosys,Governance,Entity: Infosys Limited,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: the GRI Standards,1,0.0,1,1
infosys,Governance,Entity: SASB,1,0.0,1,1
infosys,Governance,Entity: the Task Force on Climate Financial Disclosures,1,0.0,1,1
infosys,Governance,Entity: TCFD,1,0.0,1,1
infosys,Governance,Entity: the Sustainable Development Goals,1,0.0,1,1
infosys,Governance,"Entity: Environmental, Social and Governance",1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: DMA,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Corporate Certifications,1,0.0,1,1
infosys,Governance,Entity: Deloitte Haskins,1,0.0,1,1
infosys,Governance,Entity: The Independent Assurance Statement,1,0.0,1,1
infosys,Governance,Entity: the ESG Data Book,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Infosys Integrated Annual Report,1,0.0,1,1
infosys,Governance,"Entity: Infosys Corporate Social Responsibility Microsite

Infosys",1,0.0,1,1
infosys,Governance,Entity: CDP Climate,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,Entity: Infosys Springboard,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,Entity: InfyTribes,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: InfyCares,1,0.0,1,1
infosys,Governance,Entity: Tech,1,0.0,1,1
infosys,Governance,Entity: SightConnect,1,0.0,1,1
infosys,Governance,Entity: World,1,0.0,1,1
infosys,Governance,Entity: ISO,1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,Entity: ISO,1,0.0,1,1
infosys,Governance,Entity: India,1,0.0,1,1
infosys,Governance,Entity: EU,1,0.0,1,1
infosys,Governance,Entity: ISO,1,0.0,1,1
infosys,Governance,"Entity: Energy
Management System

ENVIRONMENT

SOCIAL

GOVERNANCE


				



Our ESG Priorities",1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: papers1,1,0.0,1,1
infosys,Governance,"Entity: globalorganization2
 Peer",1,0.0,1,1
infosys,Governance,Entity: AI,1,0.0,1,1
infosys,Governance,"Entity: Infosys
 Broader",1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Employee,1,0.0,1,1
infosys,Governance,Entity: Interactions,1,0.0,1,1
infosys,Governance,Entity: 1 World Economic Forum,1,0.0,1,1
infosys,Governance,Entity: GRI,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Board,1,0.0,1,1
infosys,Governance,Entity: Double Materiality Assessment,1,0.0,1,1
infosys,Governance,Entity: Tech,1,0.0,1,1
infosys,Governance,Entity: CSR,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: IT & services,1,0.0,1,1
infosys,Governance,Entity: ESRS,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: the ESG Council,1,0.0,1,1
infosys,Governance,Entity: the Corporate Sustainability Reporting Directive,1,0.0,1,1
infosys,Governance,Entity: Global Reporting Initiatives,1,0.0,1,1
infosys,Governance,Entity: the European Financial Reporting Advisory Group,1,0.0,1,1
infosys,Governance,Entity: EU CSRD,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Infosys,1,0.0,1,1
infosys,Governance,Entity: Board,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
infosys,Governance,Entity: Enterprise Risk Management,1,0.0,1,1
infosys,Governance,Entity: ESG,1,0.0,1,1
